id,0,idReviewer,1,idLeaflet,2,clozeField1,3,clozeField2,4,clozeField3,5,clozeField4,6,clozeField5,7,clozeField6,8,clozeField7,9,clozeField8,10,clozeField9,11,clozeField10,12,clozeField11,13,clozeField12,14,clozeField13,15,clozeField14,16,clozeField15,17,clozeField16,18,clozeField17,19,clozeField18,20,clozeField19,21,clozeField20,22,clozeField21,23,clozeField22,24,clozeField23,25,clozeField24,26,clozeField25,27,clozeField26,28,clozeField27,29,clozeField28,30,clozeField29,31,clozeField30,32,clozeField31,33,clozeField32,34,cAns1,35,cAns2,36,cAns3,37,cAns4,38,cAns5,39,cAns6,40,cAns7,41,cAns8,42,cAns9,43,cAns10,44,cAns11,45,cAns12,46,cAns13,47,cAns14,48,cAns15,49,cAns16,50,cAns17,51,cAns18,52,cAns19,53,cAns20,54,cAns21,55,cAns22,56,cAns23,57,cAns24,58,cAns25,59,cAns26,60,cAns27,61,cAns28,62,cAns29,63,cAns30,64,cAns31,65,cAns32,66,flag,67
1,1,idReviewer,idReviewer,idLeaflet,idLeaflet,clozeField1,clozeField1,clozeField2,clozeField2,clozeField3,clozeField3,clozeField4,clozeField4,clozeField5,clozeField5,clozeField6,clozeField6,clozeField7,clozeField7,clozeField8,clozeField8,clozeField9,clozeField9,clozeField10,clozeField10,clozeField11,clozeField11,clozeField12,clozeField12,clozeField13,clozeField13,clozeField14,clozeField14,clozeField15,clozeField15,clozeField16,clozeField16,clozeField17,clozeField17,clozeField18,clozeField18,clozeField19,clozeField19,clozeField20,clozeField20,clozeField21,clozeField21,clozeField22,clozeField22,clozeField23,clozeField23,clozeField24,clozeField24,clozeField25,clozeField25,clozeField26,clozeField26,clozeField27,clozeField27,clozeField28,clozeField28,clozeField29,clozeField29,clozeField30,clozeField30,clozeField31,clozeField31,clozeField32,clozeField32,cAns1,cAns1,cAns2,cAns2,cAns3,cAns3,cAns4,cAns4,cAns5,cAns5,cAns6,cAns6,cAns7,cAns7,cAns8,cAns8,cAns9,cAns9,cAns10,cAns10,cAns11,cAns11,cAns12,cAns12,cAns13,cAns13,cAns14,cAns14,cAns15,cAns15,cAns16,cAns16,cAns17,cAns17,cAns18,cAns18,cAns19,cAns19,cAns20,cAns20,cAns21,cAns21,cAns22,cAns22,cAns23,cAns23,cAns24,cAns24,cAns25,cAns25,cAns26,cAns26,cAns27,cAns27,cAns28,cAns28,cAns29,cAns29,cAns30,cAns30,cAns31,cAns31,cAns32,cAns32,1,1
2,2,sre33,sre33,1,1,or,or,clinical,clinical,specific,specific,for,for,with,with,principal,principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
3,3,sre35,sre35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
4,4,sre35,sre35,1,1,,,,,,,,,,,,,that,that,a,a,you,you,you,you,to,to,,,,,,,,,symptoms,symptoms,,,,,,,,,,,,,,,ability,ability,study,study,some,some,then,then,gain,gain,close,close,would,would,we,we,the,the,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
5,5,sre35,sre35,1,1,,,,,,,,,,,,,that,that,a,a,you,you,you,you,to,to,,,,,,,,,symptoms,symptoms,,,,,,,,,,,,,,,ability,ability,study,study,some,some,then,then,gain,gain,close,close,would,would,we,we,the,the,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
6,6,sre35,sre35,1,1,to,to,provide,provide,asked,asked,aswell,aswell,personal,personal,medical,medical,such,such,from,from,will,will,number,number,advise,advise,study,study,,,,,,,of,of,are,are,have,have,,,,,,,,,,,,,possibly,possibly,when,when,to,to,we,we,how,how,,,work,work,and,and,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
7,7,sre35,sre35,1,1,to,to,provide,provide,asked,asked,aswell,aswell,personal,personal,medical,medical,such,such,from,from,will,will,number,number,advise,advise,study,study,,,,,and,and,of,of,are,are,have,have,,,,,,,,,,,,,possibly,possibly,when,when,to,to,we,we,how,how,,,work,work,and,and,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
8,8,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
9,9,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
10,10,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
11,11,sre35,sre35,1,1,to,to,provide,provide,asked,asked,aswell,aswell,personal,personal,medical,medical,such,such,from,from,will,will,number,number,advise,advise,study,study,,,,,and,and,of,of,are,are,have,have,,,,,,,,,,,,,possibly,possibly,when,when,to,to,we,we,how,how,,,work,work,and,and,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
12,12,sre35,sre35,as,as,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,document,document,take,take,and,and,staff,staff,send,send,the,the,the,the,to,to,please,please,and,and,staff,staff,send,send,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,going,going,that,that,,,who,who,types,types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
13,13,sre35,sre35,as,as,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,document,document,take,take,and,and,staff,staff,send,send,the,the,the,the,to,to,please,please,and,and,staff,staff,send,send,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,going,going,that,that,,,who,who,types,types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
14,14,a,a,as,as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
15,15,a,a,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,1,1
16,16,sre35,sre35,as,as,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,document,document,take,take,and,and,staff,staff,send,send,the,the,the,the,to,to,please,please,and,and,staff,staff,send,send,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,going,going,that,that,,,who,who,types,types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
17,17,sre35,sre35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,1,1
18,18,sre35,sre35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,1,1
19,19,sre35,sre35,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,1,1
20,20,sr32,sr32,1,1,jw1,jw1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
21,21,sr32,sr32,1,1,jw1,jw1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
22,22,sre32,sre32,1,1,wPil2,wPil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
23,23,sre32,sre32,1,1,wPil2,wPil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
24,24,sre32,sre32,2,2,wPIL2,wPIL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,1,1
25,25,sre32,sre32,3,3,wPIL3,wPIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,1,1
26,26,sre32,sre32,4,4,wPIL4,wPIL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,1,1
27,27,sre32,sre32,1,1,wPIL1,wPIL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
28,28,S32,S32,1,1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,21,22,22,,,,,,,,,,,,,,,,,31,31,32,32,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
29,29,sr37,sr37,1,1,and,and,user,user,new,new,"to treat","to treat","due to","due to",Research,Research,that,that,a,a,you,you,you,you,to,to,"saliva samples ","saliva samples ",with,with,about,about,and,and,signs,signs,associated,associated,illnesses,illnesses,have,have,a,a,diseases,diseases,have,have,a,a,ability,ability,evaluating,evaluating,some,some,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
30,30,sr37,sr37,2,2,to,to,obtain,obtain,needed,needed,such,such,personal,personal,health,health,such,such,other,other,may,may,number,number,contact,contact,procedure,procedure,the,the,is,is,not,not,of,of,are,are,have,have,concerns,concerns,who,who,to,to,record,record,"in order to","in order to",properly,properly,test,test,when,when,to,to,we,we,"how healthy","how healthy",test,test,figure,figure,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
31,31,sre38,sre38,1,1,"not clear to reader","not clear to reader","not clear to reader","not clear to reader","not clear to reader","not clear to reader","not clear to reader","not clear to reader",for,for,principle,principle,test,test,influenza,influenza,you,you,you,you,to,to,"not clear to reader","not clear to reader",mucus,mucus,measurement,measurement,for,for,illness,illness,diagnosed,diagnosed,illness,illness,like,like,a,a,illnesses,illnesses,have,have,a,a,right,right,research,research,some,some,then,then,obtain,obtain,close,close,will,will,we,we,data,data,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
32,32,sr37,sr37,3,3,as,as,will,will,different,different,in,in,password,password,by,by,of,of,still,still,take,take,and,and,person,person,"return ","return ",the,the,a,a,to,to,please,please,and,and,person,person,return,return,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,greatly,greatly,for,for,able,able,but,but,to,to,who,who,issues,issues,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
33,33,sr37,sr37,4,4,are,are,will,will,but,but,permission,permission,"contact information","contact information",will,will,information,information,we,we,you,you,information,information,longer,longer,is,is,and,and,for,for,data,data,establishes,establishes,security,security,access,access,data,data,information,information,which,which,the,the,research,research,NHS,NHS,such,such,and,and,the,the,will,will,that,that,staff,staff,to,to,collect,collect,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
34,34,sre39,sre39,1,1,loss,loss,have,have,uniformed,uniformed,with,with,with,with,what,what,test,test,a,a,you,you,you,you,to,to,tests,tests,fleme,fleme,just,just,this,this,tests,tests,seen,seen,problem,problem,have,have,other,other,conditions,conditions,have,have,other,other,form,form,hospital,hospital,other,other,then,then,ask,ask,other,other,will,will,before,before,there,there,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
35,35,sre39,sre39,2,2,to,to,gather,gather,asked,asked,hospital,hospital,personal,personal,personal,personal,patient,patient,local,local,would,would,number,number,help,help,study,study,the,the,"ha beens","ha beens",and,and,of,of,and,and,able,able,for,for,who,who,and,and,this,this,for,for,purposes,purposes,may,may,when,when,to,to,we,we,this,this,visit,visit,look,look,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
36,36,sre310,sre310,1,1,,,,,,,"such as","such as","because of","because of",vaccination,vaccination,that,that,a,a,you,you,you,you,to,to,"that is","that is",out,out,"making it","making it","which is","which is",assessment,assessment,"also treated","also treated",illness,illness,endeavour,endeavour,a,a," test"," test",have,have,a,a,right,right,medical,medical,various,various,"it means that","it means that",authorise,authorise,related,related,will,will,we,we,"it has been","it has been",or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
37,37,sre312,sre312,1,1,limited,limited,".In this",".In this",the,the,"in which the","in which the","is the","is the",". By the",". By the","this can","this can","the flu","the flu","with you","with you",you,you,for,for,"and take this proof","and take this proof","and have","and have","in where you need","in where you need","this help us with an","this help us with an",analysis,analysis,cough,cough,sputum,sputum,"need your permission","need your permission","comparing a","comparing a","and this manner discard them","and this manner discard them",be,be,a,a,interest,interest,test-and-treat,test-and-treat,"proof and","proof and","is necessary that","is necessary that",ask,ask,more,more,would,would,"the team","the team","you are","you are",or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
38,38,p,p,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
39,39,p,p,2,2,amor,amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,1,1
40,40,sre313,sre313,1,1,,,,,,,for,for,for,for,principal,principal,that,that,a,a,you,you,you,you,to,to,,,,,roughly,roughly,for,for,,,consistent,consistent,problem,problem,like,like,a,a,concerns,concerns,have,have,our,our,ability,ability,research,research,any,any,then,then,obtain,obtain,related,related,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
