id,0,idReviewer,1,idLeaflet,2,clozeField1,3,clozeField2,4,clozeField3,5,clozeField4,6,clozeField5,7,clozeField6,8,clozeField7,9,clozeField8,10,clozeField9,11,clozeField10,12,clozeField11,13,clozeField12,14,clozeField13,15,clozeField14,16,clozeField15,17,clozeField16,18,clozeField17,19,clozeField18,20,clozeField19,21,clozeField20,22,clozeField21,23,clozeField22,24,clozeField23,25,clozeField24,26,clozeField25,27,clozeField26,28,clozeField27,29,clozeField28,30,clozeField29,31,clozeField30,32,clozeField31,33,clozeField32,34,cAns1,35,cAns2,36,cAns3,37,cAns4,38,cAns5,39,cAns6,40,cAns7,41,cAns8,42,cAns9,43,cAns10,44,cAns11,45,cAns12,46,cAns13,47,cAns14,48,cAns15,49,cAns16,50,cAns17,51,cAns18,52,cAns19,53,cAns20,54,cAns21,55,cAns22,56,cAns23,57,cAns24,58,cAns25,59,cAns26,60,cAns27,61,cAns28,62,cAns29,63,cAns30,64,cAns31,65,cAns32,66,flag,67
43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
45,45,sre313,sre313,1,1,,,,,,,,,with,with,Principal,Principal,that,that,a,a,you,you,you,you,to,to,,,,,roughly,roughly,for,for,,,consistent,consistent,condition,condition,continue,continue,a,a,concerns,concerns,have,have,a,a,ability,ability,research,research,any,any,then,then,obtain,obtain,related,related,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
46,46,sre313,sre313,2,2,to,to,use,use,collect,collect,,,personal,personal,personal,personal,,,the,the,may,may,number,number,inform,inform,project,project,any,any,is,is,and,and,of,of,and,and,have,have,concerns,concerns,that,that,to,to,information,information,or,or,process,process,request,request,when,when,to,to,we,we,who,who,involvement,involvement,work,work,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
47,47,sre313,sre313,3,3,as,as,will,will,secure,secure,on,on,physically,physically,to,to,of,of,leaflet,leaflet,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,University,University,envelope,envelope,you,you,your,your,however,however,research,research,continuously,continuously,for,for,able,able,but,but,to,to,who,who,treatment,treatment,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
48,48,sre313,sre313,4,4,are,are,will,will,but,but,consent,consent,information,information,,,,,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,Data,Data,,,,,interest,interest,,,data,data,which,which,the,the,trial,trial,our,our,,,and,and,the,the,will,will,that,that,those,those,to,to,,,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
49,49,sre314,sre314,1,1,unknown,unknown,unknown,unknown,unknown,unknown,for,for,with,with,unknown,unknown,that,that,a,a,you,you,you,you,to,to,spittle,spittle,with,with,about,about,for,for,signs,signs,associated,associated,condition,condition,like,like,a,a,conditions,conditions,have,have,a,a,ability,ability,medical,medical,some,some,then,then,gain,gain,close,close,must,must,we,we,"you have","you have",or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
50,50,sre314,sre314,2,2,to,to,provide,provide,kept,kept,unkown,unkown,personal,personal,medical,medical,unkiown,unkiown,other,other,may,may,details,details,contact,contact,results,results,the,the,is,is,and,and,of,of,and,and,have,have,identify,identify,who,who,and,and,review,review,and,and,process,process,request,request,when,when,to,to,we,we,who,who,teratment,teratment,see,see,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
51,51,sre314,sre314,3,3,as,as,will,will,individual,individual,on,on,securely,securely,to,to,of,of,and,and,take,take,and,and,researcher,researcher,post,post,the,the,the,the,to,to,please,please,and,and,researcher,researcher,post,post,University,University,envelope,envelope,you,you,taking,taking,however,however,research,research,further,further,for,for,able,able,but,but,to,to,who,who,types,types,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
52,52,sre314,sre314,4,4,action,action,will,will,but,but,data,data,that,that,will,will,data,data,we,we,you,you,data,data,longer,longer,and,and,of,of,in,in,Data,Data,and,and,the,the,interest,interest,activities,activities,data,data,that,that,the,the,or,or,national,national,such,such,and,and,the,the,have,have,that,that,those,those,and,and,process,process,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
53,53,sre315,sre315,1,1,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
54,54,sre315,sre315,1,1,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
56,56,sre315,sre315,1,1,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
57,57,sre316,sre316,1,1,special,special,this,this,,,for,for,because,because,,,positive,positive,influenza,influenza,patient,patient,"you agree","you agree",to,to,,,blood,blood," With"," With",This,This,,,dificultaded,dificultaded,"distress ","distress ",make,make,detect,detect,diseases,diseases,it,it,innovative,innovative,permission,permission,,,one,one,,,ask,ask,else,else,,,samples,samples,again,again,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
58,58,sre317,sre317,1,1,or,or,and,and,,,for,for,with,with,Primary,Primary,which,which,the,the,you,you,you,you,to,to,saliva,saliva,excess,excess,about,about,for,for,results,results,coming,coming,failure,failure,like,like,a,a,illnesses,illnesses,have,have,the,the,right,right,clinical,clinical,,,and,and,have,have,related,related,will,will,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
59,59,sre317,sre317,2,2,to,to,provide,provide,given,given,such,such,personal,personal,patient,patient,such,such,the,the,that,that,patient,patient,inform,inform,study,study,all,all,is,is,"in order","in order",of,of,and,and,have,have,affects,affects,that,that,and,and,process,process,and,and,forms,forms,study,study,when,when,to,to,we,we,about,about,treatment,treatment,know,know,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
60,60,sre317,sre317,3,3,as,as,will,will,the,the,on,on,securely,securely,from,from,of,of,completely,completely,take,take,and,and,university,university,submit,submit,the,the,a,a,to,to,please,please,and,and,university,university,submit,submit,University,University,envelope,envelope,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,experiences,experiences,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
61,61,sre317,sre317,4,4,are,are,will,will,but,but,information,information,as,as,we,we,data,data,we,we,you,you,what,what,longer,longer,is,is,of,of,for,for,Data,Data,,,the,the,data,data,data,data,data,data,which,which,the,the,trials,trials,the,the,such,such,and,and,the,the,will,will,that,that,those,those,and,and,process,process,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
62,62,v,v,1,1,sre318,sre318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sre318,sre318,sre318,sre318,318,318,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,1,1
63,63,v,v,2,2,sre318,sre318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sre318,sre318,,,sre318,sre318,sre318,sre318,318,318,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,1,1
64,64,sre315,sre315,1,1,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
65,65,sre315,sre315,2,2,to,to,have,have,indispensable,indispensable,so,so,the,the,clinical,clinical,"of clinicals","of clinicals",the,the,"ask you","ask you","need the information","need the information",contact,contact,"at the end","at the end",your,your,be,be,and,and,of,of,and,and,can,can,"is records of","is records of","autorized and","autorized and",to,to,"or records","or records","in an","in an","and details","and details",study,study,"with you information and","with you information and","things that need","things that need",you,you,that,that,record,record,oversee,oversee,up,up,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
66,66,sre38,sre38,2,2,to,to,use,use,collected,collected,"not clear to reader","not clear to reader","not clear to reader","not clear to reader",NHS,NHS,formed,formed,"unclear to reader","unclear to reader","not clear to reader","not clear to reader",records,records,contact,contact,study,study,the,the,is,is,"unclear to reader","unclear to reader",of,of,and,and,have,have,"unlear to reader","unlear to reader",that,that,to,to,collect,collect,and,and,method,method,study,study,that,that,to,to,we,we,how,how,"unclear to reader","unclear to reader",find,find,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
67,67,sre319,sre319,1,1,"(not sure)","(not sure)","(not sure)","(not sure)","(not sure)","(not sure)",for,for,for,for,study,study,"test which","test which",influenza,influenza,"you ","you ",you,you,to,to,samples,samples,any,any,"(not sure)","(not sure)","for ","for ",presentation,presentation,diagnosed?,diagnosed?,illness,illness,need,need,a,a,illnesses,illnesses,have,have,a,a,capacity,capacity,clinical,clinical,any,any,then,then,obtain,obtain,related,related,will,will,we,we,"you are","you are",or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
68,68,sre38,sre38,3,3,as,as,will,will,secure,secure,on,on,password,password,to,to,of,of,information,information,take,take,and,and,staff,staff,send,send,the,the,the,the,to,to,please,please,and,and,staff,staff,send,send,university,university,envelope,envelope,you,you,taking,taking,but,but,study,study,better,better,for,for,needing,needing,but,but,to,to,and,and,types,types,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
69,69,sre319,sre319,2,2,"to ","to ",access,access,recorded,recorded,"(not sure)","(not sure)",symptom,symptom,medical,medical,such,such,"(not sure)","(not sure)",records,records,number,number,inform,inform,study,study,any,any,is,is,and,and,of,of,and,and,require,require,"(not sure)","(not sure)",who,who,to,to,"view ","view ",or,or,"(not sure)","(not sure)",study,study,when,when,to,to,we,we,who,who,symptoms,symptoms,find,find,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
70,70,sre38,sre38,4,4,are,are,will,will,but,but,data,data,as,as,will,will,data,data,we,we,you,you,data,data,longer,longer,aren't,aren't,of,of,by,by,Data,Data,"unclear to reader","unclear to reader",research,research,domain,domain,conducted,conducted,data,data,which,which,the,the,trials,trials,NHS,NHS,named,named,for,for,the,the,will,will,that,that,staff,staff,to,to,collect,collect,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
71,71,sre319,sre319,3,3,as,as,will,will,locked,locked,on,on,password,password,to,to,of,of,"information sheet","information sheet",take,take,and,and,"research team","research team",post,post,the,the,the,the,"to ","to ",please,please,and,and,"research team","research team",post,post,University,University,envelope,envelope,you,you,taking,taking,however,however,study,study,to,to,for,for,able,able,and,and,many,many,who,who,severities?,severities?,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
72,72,sre319,sre319,4,4,are,are,will,will,we,we,data,data,"that you ","that you ",we,we,information,information,we,we,you,you,data,data,longer,longer,is,is,of,of,in,in,Data,Data,"(not sure)","(not sure)",the,the,"(not sure)","(not sure)",undertaken,undertaken,data,data,which,which,the,the,or,or,medical,medical,such,such,or,or,the,the,will,will,and,and,those,those,to,to,view,view,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
73,73,sre315,sre315,3,3,as,as,will,will,different,different,in,in,with,with,for,for,"by the","by the",leaflet,leaflet,form,form,provided,provided,"research team","research team",return,return,members,members,"form of","form of",to,to,please,please,and,and,"research team","research team",return,return,members,members,"that was","that was",you,you,take,take,so,so,study,study,know,know,for,for,autirized,autirized,but,but,with,with,that,that,types,types,as,as,will,will,locked,locked,on,on,password,password,by,by,of,of,information,information,take,take,and,and,researcher,researcher,send,send,the,the,the,the,to,to,please,please,and,and,researcher,researcher,send,send,university,university,envelop,envelop,you,you,taking,taking,but,but,study,study,further,further,for,for,able,able,but,but,to,to,who,who,treatments,treatments,0,0
74,74,sre315,sre315,4,4,are,are,can,can,you,you,treament,treament,"the information","the information",to,to,treament,treament,if,if,you,you,"the information","the information","have a follow-up","have a follow-up",developed,developed,of,of,of,of,Data,Data,"in the","in the",the,the,interest,interest,under,under,information,information,research,research,the,the,routine,routine,task,task,clinics,clinics,and,and,the,the,will,will,and,and,people,people,to,to,process,process,are,are,would,would,but,but,permission,permission,information,information,to,to,data,data,we,we,you,you,information,information,longer,longer,is,is,of,of,in,in,data,data,and,and,archiving,archiving,interest,interest,pruposes,pruposes,information,information,that,that,the,the,and,and,medical,medical,such,such,and,and,the,the,will,will,that,that,people,people,to,to,process,process,0,0
75,75,sre312,sre312,2,2,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,to,to,gather,gather,collected,collected,such,such,treatment,treatment,medical,medical,such,such,other,other,will,will,number,number,contact,contact,study,study,relevant,relevant,is,is,and,and,of,of,and,and,have,have,identifies,identifies,who,who,to,to,process,process,or,or,process,process,invitation,invitation,when,when,to,to,we,we,how,how,treatment,treatment,find,find,and,and,0,0
76,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
77,77,sre312,sre312,1,1,or,or,randomised,randomised,routine,routine,for,for,with,with,Chief,Chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,and,and,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,or,or,randomised,randomised,routine,routine,for,for,with,with,chief,chief,that,that,a,a,you,you,you,you,to,to,sputum,sputum,up,up,about,about,for,for,signs,signs,consistent,consistent,illness,illness,like,like,a,a,viruses,viruses,have,have,a,a,ability,ability,research,research,any,any,then,then,get,get,close,close,would,would,we,we,you,you,0,0
