idReviser,0,rEmail,1,rInterest,2,rHealth,3,rAge,4,rEducation,5,dateT,6,flag,7,idGroup,8
1,1,yo,yo,1,1,2,2,3,3,4,4,"2019-06-24 12:43:54","2019-06-24 12:43:54",0,0,1,1
2,2,tu,tu,3,3,3,3,6,6,2,2,"2019-06-24 12:54:51","2019-06-24 12:54:51",2,2,1,1
3,3,yo,yo,,,,,,,,,"2019-06-24 13:43:56","2019-06-24 13:43:56",0,0,1,1
4,4,yo,yo,,,,,,,,,"2019-06-24 19:29:36","2019-06-24 19:29:36",0,0,1,1
5,5,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,,,,,,,"2019-06-24 19:34:46","2019-06-24 19:34:46",0,0,1,1
6,6,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,2,2,2,2,2,2,"2019-06-24 19:36:09","2019-06-24 19:36:09",0,0,1,1
7,7,A17VJ00S5DQGS4,A17VJ00S5DQGS4,1,1,1,1,2,2,4,4,"2019-06-24 19:38:21","2019-06-24 19:38:21",0,0,1,1
8,8,A2KFKP6S866JFB,A2KFKP6S866JFB,1,1,1,1,3,3,4,4,"2019-06-24 19:40:15","2019-06-24 19:40:15",0,0,1,1
9,9,A37OJ7SA8GAXTJ,A37OJ7SA8GAXTJ,1,1,2,2,2,2,3,3,"2019-06-24 19:41:30","2019-06-24 19:41:30",0,0,1,1
10,10,A35NJRIII8PW87,A35NJRIII8PW87,1,1,1,1,1,1,,,"2019-06-24 19:44:37","2019-06-24 19:44:37",0,0,1,1
11,11,A1A6K4NF9JKUHE,A1A6K4NF9JKUHE,1,1,1,1,,,,,"2019-06-24 19:44:41","2019-06-24 19:44:41",0,0,1,1
12,12,ANNZ0CZ6WN49X,ANNZ0CZ6WN49X,1,1,3,3,1,1,2,2,"2019-06-24 19:46:08","2019-06-24 19:46:08",0,0,1,1
13,13,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,1,1,,,,,"2019-06-24 19:49:51","2019-06-24 19:49:51",0,0,1,1
14,14,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,1,1,,,,,2,2,"2019-06-24 19:50:14","2019-06-24 19:50:14",0,0,1,1
15,15,A1IFHL2K9POTX,A1IFHL2K9POTX,1,1,2,2,2,2,3,3,"2019-06-24 19:56:00","2019-06-24 19:56:00",0,0,1,1
16,16,A2YVRVC704FVB6,A2YVRVC704FVB6,2,2,2,2,2,2,3,3,"2019-06-24 20:00:54","2019-06-24 20:00:54",0,0,1,1
17,17,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,,,,,,,,,"2019-06-24 20:02:25","2019-06-24 20:02:25",0,0,1,1
18,18,A1OQAP1S1OGZ88,A1OQAP1S1OGZ88,,,,,,,,,"2019-06-24 20:06:45","2019-06-24 20:06:45",0,0,1,1
19,19,AUN1LGCVAUMIK,AUN1LGCVAUMIK,1,1,2,2,4,4,4,4,"2019-06-24 20:07:36","2019-06-24 20:07:36",0,0,1,1
20,20,A34ODQBU85IKLE,A34ODQBU85IKLE,1,1,2,2,7,7,1,1,"2019-06-24 21:16:48","2019-06-24 21:16:48",0,0,1,1
21,21,A34ODQBU85IKLE,A34ODQBU85IKLE,,,,,5,5,2,2,"2019-06-24 21:17:33","2019-06-24 21:17:33",0,0,1,1
22,22,A396HQPW8JXF76,A396HQPW8JXF76,3,3,1,1,,,4,4,"2019-06-24 21:24:02","2019-06-24 21:24:02",0,0,1,1
23,23,API1OQK1QL9N4,API1OQK1QL9N4,1,1,3,3,,,,,"2019-06-24 21:28:23","2019-06-24 21:28:23",0,0,5,5
24,24,A33BWVBRPI2G3U,A33BWVBRPI2G3U,1,1,2,2,7,7,1,1,"2019-06-24 21:35:52","2019-06-24 21:35:52",0,0,5,5
25,25,A29ZGJN3S7BJU9,A29ZGJN3S7BJU9,2,2,2,2,,,,,"2019-06-24 21:44:20","2019-06-24 21:44:20",0,0,5,5
26,26,AEFLSYPEB616A,AEFLSYPEB616A,1,1,1,1,,,,,"2019-06-24 21:50:44","2019-06-24 21:50:44",0,0,5,5
27,27,A3RV6RI9C541FN,A3RV6RI9C541FN,1,1,1,1,2,2,4,4,"2019-06-24 21:50:47","2019-06-24 21:50:47",0,0,5,5
28,28,ARZ9KWKL0P8ND,ARZ9KWKL0P8ND,2,2,,,3,3,,,"2019-06-24 21:53:23","2019-06-24 21:53:23",0,0,5,5
29,29,A31Z3XL9JFZYNP,A31Z3XL9JFZYNP,,,,,,,,,"2019-06-24 21:56:45","2019-06-24 21:56:45",0,0,5,5
30,30,A31Z3XL9JFZYNP,A31Z3XL9JFZYNP,,,,,3,3,4,4,"2019-06-24 21:57:12","2019-06-24 21:57:12",0,0,5,5
31,31,A1WAWEY2810TFN,A1WAWEY2810TFN,2,2,3,3,4,4,4,4,"2019-06-24 22:03:59","2019-06-24 22:03:59",0,0,5,5
32,32,A16NK6FCIZ34TL,A16NK6FCIZ34TL,2,2,2,2,1,1,3,3,"2019-06-24 22:27:50","2019-06-24 22:27:50",0,0,5,5
33,33,A37CS4EJKE3O8B,A37CS4EJKE3O8B,1,1,2,2,4,4,4,4,"2019-06-24 22:51:14","2019-06-24 22:51:14",0,0,5,5
34,34,A2L3BRCUIILH4X,A2L3BRCUIILH4X,1,1,,,1,1,1,1,"2019-06-24 23:03:50","2019-06-24 23:03:50",0,0,1,1
35,35,A2L3BRCUIILH4X,A2L3BRCUIILH4X,3,3,3,3,5,5,3,3,"2019-06-24 23:07:24","2019-06-24 23:07:24",0,0,1,1
36,36,A3Q4QMSBUWLKCT,A3Q4QMSBUWLKCT,1,1,1,1,1,1,3,3,"2019-06-25 00:02:34","2019-06-25 00:02:34",0,0,1,1
37,37,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,2,2,2,2,4,4,,,"2019-06-25 01:15:35","2019-06-25 01:15:35",0,0,5,5
38,38,A3KK8AC3V7U6CZ,A3KK8AC3V7U6CZ,1,1,1,1,3,3,4,4,"2019-06-25 01:15:46","2019-06-25 01:15:46",0,0,5,5
39,39,A23KNYW5XJ9FKD,A23KNYW5XJ9FKD,3,3,,,,,,,"2019-06-25 01:41:09","2019-06-25 01:41:09",0,0,1,1
40,40,A1D0MQX51WOV57,A1D0MQX51WOV57,1,1,2,2,,,,,"2019-06-25 01:48:07","2019-06-25 01:48:07",0,0,5,5
41,41,A1V5E5D0BNLYHM,A1V5E5D0BNLYHM,1,1,4,4,2,2,2,2,"2019-06-25 01:51:23","2019-06-25 01:51:23",0,0,5,5
42,42,A96YBI2S0U9RV,A96YBI2S0U9RV,2,2,,,6,6,1,1,"2019-06-25 02:46:21","2019-06-25 02:46:21",0,0,5,5
43,43,A24IVERHCL36M8,A24IVERHCL36M8,1,1,,,,,,,"2019-06-25 02:56:20","2019-06-25 02:56:20",0,0,5,5
44,44,A1FQG60UVQI8BR,A1FQG60UVQI8BR,1,1,,,7,7,3,3,"2019-06-25 03:02:47","2019-06-25 03:02:47",0,0,5,5
45,45,A1WYGTT2ZLGFH1,A1WYGTT2ZLGFH1,1,1,2,2,,,,,"2019-06-25 03:22:23","2019-06-25 03:22:23",0,0,5,5
46,46,A1OKBY77OUBNHL,A1OKBY77OUBNHL,,,2,2,,,,,"2019-06-25 04:13:26","2019-06-25 04:13:26",0,0,5,5
47,47,AH5YG8UZ848Z4,AH5YG8UZ848Z4,1,1,2,2,1,1,3,3,"2019-06-25 04:42:18","2019-06-25 04:42:18",0,0,5,5
48,48,AWB4PLG89V8HB,AWB4PLG89V8HB,1,1,1,1,3,3,4,4,"2019-06-25 05:16:27","2019-06-25 05:16:27",0,0,5,5
49,49,AIP4QLDLZ3E5A,AIP4QLDLZ3E5A,3,3,2,2,2,2,1,1,"2019-06-25 06:20:59","2019-06-25 06:20:59",0,0,5,5
50,50,AZ9T4UWELND5V,AZ9T4UWELND5V,1,1,,,,,,,"2019-06-25 06:58:58","2019-06-25 06:58:58",0,0,1,1
51,51,A1JC5HKL4T0YG7,A1JC5HKL4T0YG7,,,,,,,,,"2019-06-25 07:42:01","2019-06-25 07:42:01",0,0,5,5
52,52,no,no,1,1,2,2,2,2,3,3,"2019-06-25 08:33:51","2019-06-25 08:33:51",0,0,5,5
53,53,A8D3UQYYSWVYM,A8D3UQYYSWVYM,1,1,2,2,1,1,4,4,"2019-06-25 08:36:33","2019-06-25 08:36:33",0,0,5,5
54,54,A3VRR7TNM21CQZ,A3VRR7TNM21CQZ,1,1,1,1,1,1,3,3,"2019-06-25 08:50:43","2019-06-25 08:50:43",0,0,5,5
55,55,ATT3V8SFXJGU,ATT3V8SFXJGU,2,2,,,,,,,"2019-06-25 09:11:47","2019-06-25 09:11:47",0,0,5,5
56,56,A1UYK7SUH7SQ6W,A1UYK7SUH7SQ6W,3,3,2,2,,,,,"2019-06-25 11:35:16","2019-06-25 11:35:16",0,0,5,5
57,57,A1UYK7SUH7SQ6W,A1UYK7SUH7SQ6W,3,3,4,4,2,2,,,"2019-06-25 11:36:51","2019-06-25 11:36:51",0,0,5,5
58,58,A3PWMS9PPF3DC9,A3PWMS9PPF3DC9,1,1,2,2,,,4,4,"2019-06-25 11:59:16","2019-06-25 11:59:16",0,0,5,5
59,59,yo,yo,1,1,2,2,3,3,4,4,"2019-08-16 20:00:17","2019-08-16 20:00:17",0,0,1,1
60,60,yo2,yo2,3,3,3,3,6,6,2,2,"2019-08-17 17:27:59","2019-08-17 17:27:59",123,123,21,21
61,61,yo3,yo3,3,3,4,4,5,5,1,1,"2019-08-17 17:33:22","2019-08-17 17:33:22",123,123,31,31
62,62,yo4,yo4,1,1,1,1,1,1,1,1,"2019-08-17 17:38:31","2019-08-17 17:38:31",123,123,41,41
63,63,A1W89GXH3DEF23,A1W89GXH3DEF23,2,2,3,3,5,5,3,3,"2019-08-17 18:20:07","2019-08-17 18:20:07",123,123,21,21
64,64,A2LKSQ2QLWGH9K,A2LKSQ2QLWGH9K,1,1,1,1,3,3,,,"2019-08-17 18:23:18","2019-08-17 18:23:18",123,123,41,41
65,65,A35HP4O42TDQAQ,A35HP4O42TDQAQ,2,2,2,2,7,7,4,4,"2019-08-17 18:23:29","2019-08-17 18:23:29",123,123,21,21
66,66,A1YE98BQ5QRE6X,A1YE98BQ5QRE6X,1,1,,,2,2,4,4,"2019-08-17 18:27:01","2019-08-17 18:27:01",123,123,31,31
67,67,A172PX0FM3WKLR,A172PX0FM3WKLR,3,3,3,3,7,7,4,4,"2019-08-17 18:29:26","2019-08-17 18:29:26",123,123,41,41
68,68,A11W6Z0AFXSJ6C,A11W6Z0AFXSJ6C,1,1,2,2,,,,,"2019-08-17 18:30:00","2019-08-17 18:30:00",123,123,41,41
69,69,A16IUSDJEU9MWL,A16IUSDJEU9MWL,3,3,,,2,2,,,"2019-08-17 18:33:19","2019-08-17 18:33:19",123,123,21,21
70,70,A16IUSDJEU9MWL,A16IUSDJEU9MWL,3,3,2,2,2,2,1,1,"2019-08-17 18:33:51","2019-08-17 18:33:51",123,123,21,21
71,71,A11W6Z0AFXSJ6C,A11W6Z0AFXSJ6C,1,1,1,1,2,2,3,3,"2019-08-17 18:34:42","2019-08-17 18:34:42",123,123,41,41
72,72,A1KCKKMDKHADNC,A1KCKKMDKHADNC,1,1,,,,,,,"2019-08-17 18:35:31","2019-08-17 18:35:31",123,123,31,31
73,73,A1KCKKMDKHADNC,A1KCKKMDKHADNC,1,1,,,4,4,1,1,"2019-08-17 18:36:11","2019-08-17 18:36:11",123,123,31,31
74,74,AXID3RPK6NZT6,AXID3RPK6NZT6,1,1,2,2,6,6,1,1,"2019-08-17 18:40:14","2019-08-17 18:40:14",123,123,21,21
75,75,AEQ0FXD00UB2Z,AEQ0FXD00UB2Z,2,2,2,2,2,2,3,3,"2019-08-17 18:53:17","2019-08-17 18:53:17",123,123,41,41
76,76,AUZUHON52J10U,AUZUHON52J10U,1,1,,,5,5,,,"2019-08-17 18:56:15","2019-08-17 18:56:15",123,123,41,41
77,77,AUZUHON52J10U,AUZUHON52J10U,1,1,1,1,6,6,4,4,"2019-08-17 18:57:40","2019-08-17 18:57:40",123,123,41,41
78,78,A3C8ZNF3VB5PA1,A3C8ZNF3VB5PA1,2,2,4,4,2,2,3,3,"2019-08-17 19:18:17","2019-08-17 19:18:17",123,123,41,41
79,79,A13X3J8SIYBVWI,A13X3J8SIYBVWI,1,1,2,2,1,1,2,2,"2019-08-17 19:18:36","2019-08-17 19:18:36",123,123,31,31
80,80,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,3,3,4,4,4,4,"2019-08-17 19:31:07","2019-08-17 19:31:07",123,123,21,21
81,81,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,1,1,3,3,1,1,3,3,"2019-08-17 19:33:50","2019-08-17 19:33:50",123,123,31,31
82,82,A2SUEKUXDG7IJ6,A2SUEKUXDG7IJ6,1,1,3,3,1,1,3,3,"2019-08-17 19:34:51","2019-08-17 19:34:51",123,123,31,31
83,83,A2JRUPX8NNMAI2,A2JRUPX8NNMAI2,2,2,1,1,,,2,2,"2019-08-17 19:40:43","2019-08-17 19:40:43",123,123,31,31
84,84,A71LNIRT2KCKP,A71LNIRT2KCKP,1,1,3,3,1,1,3,3,"2019-08-17 19:41:40","2019-08-17 19:41:40",123,123,41,41
85,85,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,2,2,3,3,1,1,"2019-08-17 19:42:40","2019-08-17 19:42:40",123,123,21,21
86,86," A24NYP336X0LCJ"," A24NYP336X0LCJ",1,1,3,3,7,7,1,1,"2019-08-17 19:45:23","2019-08-17 19:45:23",123,123,21,21
87,87,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,2,2,3,3,1,1,"2019-08-17 19:46:39","2019-08-17 19:46:39",123,123,21,21
88,88,A24NYP336X0LCJ,A24NYP336X0LCJ,1,1,4,4,,,1,1,"2019-08-17 19:47:46","2019-08-17 19:47:46",123,123,21,21
89,89,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,2,2,3,3,1,1,"2019-08-17 19:49:41","2019-08-17 19:49:41",123,123,21,21
90,90,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,2,2,3,3,2,2,"2019-08-17 19:49:48","2019-08-17 19:49:48",123,123,21,21
91,91,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,3,3,4,4,4,4,"2019-08-17 19:50:30","2019-08-17 19:50:30",123,123,41,41
92,92,A29HORM8VKJ6O0,A29HORM8VKJ6O0,2,2,3,3,4,4,4,4,"2019-08-17 19:51:59","2019-08-17 19:51:59",123,123,31,31
93,93,AYWZ3UX4VTNF5,AYWZ3UX4VTNF5,2,2,3,3,,,,,"2019-08-17 20:11:16","2019-08-17 20:11:16",123,123,41,41
94,94,A2L3BRCUIILH4X,A2L3BRCUIILH4X,3,3,,,,,,,"2019-08-17 20:13:19","2019-08-17 20:13:19",123,123,41,41
95,95,A1VKZJ3CBBK206,A1VKZJ3CBBK206,2,2,2,2,3,3,2,2,"2019-08-17 20:16:44","2019-08-17 20:16:44",123,123,41,41
96,96,A1LTZXI26481HO,A1LTZXI26481HO,1,1,,,,,1,1,"2019-08-17 20:23:40","2019-08-17 20:23:40",123,123,21,21
97,97,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,1,1,1,1,2,2,4,4,"2019-08-17 20:28:08","2019-08-17 20:28:08",123,123,21,21
98,98,A1IWKM5YEXWB5H,A1IWKM5YEXWB5H,2,2,,,2,2,,,"2019-08-17 20:36:09","2019-08-17 20:36:09",123,123,21,21
99,99,AQMIT4AYRUK86,AQMIT4AYRUK86,2,2,2,2,3,3,,,"2019-08-17 20:41:45","2019-08-17 20:41:45",123,123,41,41
100,100,A32INQRE2R6MNP,A32INQRE2R6MNP,2,2,,,,,,,"2019-08-17 21:11:46","2019-08-17 21:11:46",123,123,41,41
101,101,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,1,1,3,3,2,2,3,3,"2019-08-17 21:14:20","2019-08-17 21:14:20",123,123,41,41
102,102,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,1,1,3,3,2,2,3,3,"2019-08-17 21:17:16","2019-08-17 21:17:16",123,123,41,41
103,103,A3AYBSE0KUKC2E,A3AYBSE0KUKC2E,1,1,3,3,2,2,3,3,"2019-08-17 21:19:29","2019-08-17 21:19:29",123,123,41,41
104,104,A1WAWEY2810TFN,A1WAWEY2810TFN,1,1,3,3,4,4,4,4,"2019-08-17 21:47:24","2019-08-17 21:47:24",123,123,31,31
105,105,A27P16LFLZGFPR,A27P16LFLZGFPR,1,1,,,,,,,"2019-08-17 22:19:15","2019-08-17 22:19:15",123,123,31,31
106,106,A2HKZCI32I319G,A2HKZCI32I319G,2,2,2,2,2,2,1,1,"2019-08-17 22:34:37","2019-08-17 22:34:37",123,123,31,31
107,107,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,2,2,2,2,4,4,"2019-08-17 22:58:43","2019-08-17 22:58:43",123,123,21,21
108,108," W4PI-MTK-S03-SRE123A27P16LFLZGFPR"," W4PI-MTK-S03-SRE123A27P16LFLZGFPR",,,,,1,1,,,"2019-08-17 23:12:13","2019-08-17 23:12:13",123,123,41,41
109,109,AIP4QLDLZ3E5A,AIP4QLDLZ3E5A,1,1,,,,,,,"2019-08-17 23:19:55","2019-08-17 23:19:55",123,123,41,41
110,110,A11BS3GFM9T4FJ,A11BS3GFM9T4FJ,2,2,2,2,2,2,2,2,"2019-08-17 23:22:21","2019-08-17 23:22:21",123,123,41,41
111,111,A11BS3GFM9T4FJ,A11BS3GFM9T4FJ,2,2,2,2,2,2,2,2,"2019-08-17 23:33:59","2019-08-17 23:33:59",123,123,41,41
112,112,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,1,1,1,1,2,2,,,"2019-08-18 02:10:05","2019-08-18 02:10:05",123,123,41,41
113,113,A3RCSO052XFJJJ,A3RCSO052XFJJJ,1,1,2,2,2,2,2,2,"2019-08-18 05:18:29","2019-08-18 05:18:29",123,123,41,41
114,114," COPIEDA2DAI5W9S1ET6H"," COPIEDA2DAI5W9S1ET6H",1,1,2,2,1,1,4,4,"2019-08-18 22:08:14","2019-08-18 22:08:14",123,123,131,131
115,115,A382IT3BF1UWLB,A382IT3BF1UWLB,1,1,1,1,2,2,,,"2019-08-18 22:10:20","2019-08-18 22:10:20",123,123,121,121
116,116,A2Z61PDUC6NCLT,A2Z61PDUC6NCLT,1,1,2,2,1,1,2,2,"2019-08-18 22:10:58","2019-08-18 22:10:58",123,123,141,141
117,117,A2QJNGKLAIMMAZ,A2QJNGKLAIMMAZ,2,2,2,2,2,2,4,4,"2019-08-18 22:12:03","2019-08-18 22:12:03",123,123,141,141
118,118,A1ST2X15PC6CE8,A1ST2X15PC6CE8,1,1,,,,,,,"2019-08-18 22:16:07","2019-08-18 22:16:07",123,123,141,141
119,119,AJX4ES1WIICR5,AJX4ES1WIICR5,1,1,,,,,,,"2019-08-18 22:24:51","2019-08-18 22:24:51",123,123,131,131
120,120,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,2,2,,,4,4,"2019-08-18 22:29:15","2019-08-18 22:29:15",123,123,131,131
121,121,A382IT3BF1UWLB,A382IT3BF1UWLB,1,1,1,1,2,2,4,4,"2019-08-18 22:34:07","2019-08-18 22:34:07",123,123,131,131
122,122,A1ST2X15PC6CE8,A1ST2X15PC6CE8,2,2,,,,,,,"2019-08-18 22:38:36","2019-08-18 22:38:36",123,123,121,121
123,123,A2U4LDPZF2P7BY,A2U4LDPZF2P7BY,1,1,2,2,2,2,3,3,"2019-08-18 22:39:09","2019-08-18 22:39:09",123,123,141,141
124,124,A382IT3BF1UWLB,A382IT3BF1UWLB,,,,,,,,,"2019-08-18 22:41:24","2019-08-18 22:41:24",123,123,121,121
125,125,A27P16LFLZGFPR,A27P16LFLZGFPR,,,,,,,,,"2019-08-18 22:46:14","2019-08-18 22:46:14",123,123,131,131
126,126,AXID3RPK6NZT6,AXID3RPK6NZT6,1,1,2,2,6,6,1,1,"2019-08-18 22:47:42","2019-08-18 22:47:42",123,123,121,121
127,127,AXID3RPK6NZT6,AXID3RPK6NZT6,1,1,2,2,6,6,1,1,"2019-08-18 22:48:44","2019-08-18 22:48:44",123,123,141,141
128,128," COPIEDA2DAI5W9S1ET6H"," COPIEDA2DAI5W9S1ET6H",,,,,,,,,"2019-08-18 23:00:17","2019-08-18 23:00:17",123,123,141,141
129,129,A2L3BRCUIILH4X,A2L3BRCUIILH4X,,,,,,,,,"2019-08-18 23:01:42","2019-08-18 23:01:42",123,123,121,121
130,130,AYANXOKRFW1ZD,AYANXOKRFW1ZD,1,1,2,2,1,1,4,4,"2019-08-18 23:08:07","2019-08-18 23:08:07",123,123,121,121
131,131,A27QIBL4MO6Z0X,A27QIBL4MO6Z0X,1,1,1,1,2,2,4,4,"2019-08-18 23:11:25","2019-08-18 23:11:25",123,123,141,141
132,132,AYANXOKRFW1ZD,AYANXOKRFW1ZD,1,1,2,2,1,1,4,4,"2019-08-18 23:25:33","2019-08-18 23:25:33",123,123,141,141
133,133,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,1,1,3,3,4,4,2,2,"2019-08-18 23:30:32","2019-08-18 23:30:32",123,123,141,141
134,134,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,1,1,,,,,,,"2019-08-18 23:31:14","2019-08-18 23:31:14",123,123,141,141
135,135,A3ATOX7LR6RKZA,A3ATOX7LR6RKZA,,,,,,,,,"2019-08-18 23:34:43","2019-08-18 23:34:43",123,123,131,131
136,136,A39K5DFHK6FCQH,A39K5DFHK6FCQH,1,1,1,1,2,2,3,3,"2019-08-18 23:50:25","2019-08-18 23:50:25",123,123,141,141
137,137,A1LTZXI26481HO,A1LTZXI26481HO,2,2,,,,,,,"2019-08-19 00:18:16","2019-08-19 00:18:16",123,123,121,121
138,138,A2L3BRCUIILH4X,A2L3BRCUIILH4X,,,,,,,,,"2019-08-19 00:30:13","2019-08-19 00:30:13",123,123,131,131
139,139,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,,,,,,,,,"2019-08-19 00:30:17","2019-08-19 00:30:17",123,123,131,131
140,140,A16IUSDJEU9MWL,A16IUSDJEU9MWL,3,3,3,3,1,1,1,1,"2019-08-19 00:45:53","2019-08-19 00:45:53",123,123,131,131
141,141,A2I3D7L2IAHHOL,A2I3D7L2IAHHOL,,,,,,,,,"2019-08-19 00:58:02","2019-08-19 00:58:02",123,123,131,131
142,142,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,1,1,,,1,1,3,3,"2019-08-19 01:40:43","2019-08-19 01:40:43",123,123,131,131
143,143,A3DUPM4SSY7AT5,A3DUPM4SSY7AT5,,,,,,,,,"2019-08-19 01:43:46","2019-08-19 01:43:46",123,123,121,121
144,144,AXMCEU9YWYSGH,AXMCEU9YWYSGH,3,3,2,2,,,2,2,"2019-08-19 01:53:40","2019-08-19 01:53:40",123,123,121,121
145,145,A35Q0ZG3C7ZFP,A35Q0ZG3C7ZFP,2,2,2,2,3,3,4,4,"2019-08-19 02:01:51","2019-08-19 02:01:51",123,123,121,121
146,146,A35Q0ZG3C7ZFP,A35Q0ZG3C7ZFP,2,2,,,,,4,4,"2019-08-19 02:04:43","2019-08-19 02:04:43",123,123,121,121
147,147,A35UN7D0NCA0NA,A35UN7D0NCA0NA,2,2,2,2,2,2,2,2,"2019-08-19 02:21:04","2019-08-19 02:21:04",123,123,121,121
